"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Hikayat Banjar,,,,,,""http://www.wikidata.org/entity/Q2590504"""
"List of Hikayat,,,,,,""http://www.wikidata.org/entity/Q3958211"""
"Kantoli,,,,,,""http://www.wikidata.org/entity/Q4347516"""
"Kutai,,,,,,""http://www.wikidata.org/entity/Q1794655"""
"Amabi,,,,,,""http://www.wikidata.org/entity/Q451677"""
"Giri Kedaton,,,,,,""http://www.wikidata.org/entity/Q16178404"""
"Liang Daoming,,,,,,""http://www.wikidata.org/entity/Q10966261"""
"List of rulers of Maluku,,,,,,""http://www.wikidata.org/entity/Q27662175"""
"Kengwei Republic,,,,,,""http://www.wikidata.org/entity/Q107003282"""
"Lintian Republic,,,,,,""http://www.wikidata.org/entity/Q107003367"""
"Santiaogou Republic,,,,,,""http://www.wikidata.org/entity/Q107068591"""
"Pamalayu,,,,,,""http://www.wikidata.org/entity/Q4264622"""
"Klungkung Palace,,,,,,""http://www.wikidata.org/entity/Q1164385"""
"Vorstenlanden,,,,,,""http://www.wikidata.org/entity/Q2401689"""
"Negara Dipa,,,,,,""http://www.wikidata.org/entity/Q12491044"""
"Amanatun,,,,,,""http://www.wikidata.org/entity/Q4739518"""
"Kingdom of Iha,,,,,,""http://www.wikidata.org/entity/Q6412603"""
"Sonbai Besar,,,,,,""http://www.wikidata.org/entity/Q7560855"""
"Sonbai Kecil,,,,,,""http://www.wikidata.org/entity/Q7560856"""
"Mauli,,,,,,""http://www.wikidata.org/entity/Q15885749"""
"Arun, Sumatra,,,,,,""http://www.wikidata.org/entity/Q103948645"""
"List of Indonesian monarchies,,,,,,""http://www.wikidata.org/entity/Q103948645"""
"Segati Kingdom,,,,,,""http://www.wikidata.org/entity/Q16724473"""
"List of kongsi,,,,,,""http://www.wikidata.org/entity/Q107128504"""
Malaka Kingdom,,,,,,
Zabag (ancient territory),,,,,,
List of monarchs of Timor,,,,,,
Tasifeto,,,,,,
Samaskuta kingdom,,,,,,
"Kingdom of Sahulau,,,,""Sultanate of Ternate"",""Early 16th century"","
"Kingdom of Moutong,,,,""Dutch East Indies"",""Early 19th century"","
"Lupah Sug,""Jolo, Sulu"",""Buddhism"",""Prehistory of the Philippines"",""Sultanate of Sulu"",""before 1280"",""http://www.wikidata.org/entity/Q60748278"""
"Lupah Sug,""Jolo, Sulu"",""Buddhism"",""Precolonial barangay"",""Sultanate of Sulu"",""before 1280"",""http://www.wikidata.org/entity/Q60748278"""
"Lupah Sug,""Jolo, Sulu"",""Philippine Esoteric Buddhism"",""Precolonial barangay"",""Sultanate of Sulu"",""before 1280"",""http://www.wikidata.org/entity/Q60748278"""
"Lupah Sug,""Jolo, Sulu"",""Philippine Esoteric Buddhism"",""Prehistory of the Philippines"",""Sultanate of Sulu"",""before 1280"",""http://www.wikidata.org/entity/Q60748278"""
"Tarumanagara,""Bekasi Regency"",,""Buni culture"",""Sunda Kingdom"",""ca. 358"",""http://www.wikidata.org/entity/Q2247225"""
"Tarumanagara,""North Jakarta"",,""Buni culture"",""Galuh Kingdom"",""ca. 358"",""http://www.wikidata.org/entity/Q2247225"""
"Tarumanagara,""Bekasi Regency"",,""Buni culture"",""Galuh Kingdom"",""ca. 358"",""http://www.wikidata.org/entity/Q2247225"""
"Tarumanagara,""North Jakarta"",,""Buni culture"",""Sunda Kingdom"",""ca. 358"",""http://www.wikidata.org/entity/Q2247225"""
"Manado Kingdom,""Manado Tua"",""Christianity"",""Bowontehu Kingdom"",""Dutch East Indies"",""1500.0"","
"Suwawa Kingdom,,,,""Dutch East Indies"",""500.0"","
"Heling kingdom,""Jepara"",""Buddhism"",,""Mataram Kingdom"",6,"
"Heling kingdom,""Pekalongan"",""Animism"",,""Mataram Kingdom"",6,"
"Heling kingdom,""Jepara"",""Hinduism"",,""Mataram Kingdom"",6,"
"Heling kingdom,""Pekalongan"",""Buddhism"",,""Mataram Kingdom"",6,"
"Heling kingdom,""Jepara"",""Animism"",,""Mataram Kingdom"",6,"
"Heling kingdom,""Pekalongan"",""Hinduism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Jepara"",""Hinduism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Pekalongan"",""Animism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Jepara"",""Buddhism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Pekalongan"",""Buddhism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Jepara"",""Animism"",,""Mataram Kingdom"",6,"
"Kalingga kingdom,""Pekalongan"",""Hinduism"",,""Mataram Kingdom"",6,"
"Pannai,,""Vajrayana"",,,11,""http://www.wikidata.org/entity/Q12491048"""
"Sultanate of Jailolo,""Jailolo (town)"",""Sunni Islam"",,""Dutch East Indies"",13,""http://www.wikidata.org/entity/Q98115359"""
"Kandis kingdom,,""Hinduism"",,""Dharmasraya"",14,"
"Kandis kingdom,,""Hinduism"",,""Koto Alang"",14,"
"Kandis kingdom,,""Buddhism"",,""Dharmasraya"",14,"
"Kandis kingdom,,""Buddhism"",,""Koto Alang"",14,"
"Bone State,""Watampone"",""Sunni Islam"",,""Dutch East Indies"",14,"
"Bone State,""Watampone"",""Sunni Islam"",,""Republic of Indonesia"",14,"
"Galuh Kingdom,,""Hinduism"",""Tarumanagara"",""Sunda Kingdom"",669,""http://www.wikidata.org/entity/Q5519387"""
"Galuh Kingdom,,""Buddhism"",""Tarumanagara"",""Sunda Kingdom"",669,""http://www.wikidata.org/entity/Q5519387"""
"Galuh Kingdom,,""Sunda Wiwitan"",""Tarumanagara"",""Sunda Kingdom"",669,""http://www.wikidata.org/entity/Q5519387"""
"Kediri kingdom,""Kediri (city)"",""Animism"",""Kahuripan"",""Majapahit"",1042,"
"Kediri kingdom,""Kediri (city)"",""Animism"",""Kahuripan"",""Singhasari"",1042,"
"Kediri kingdom,""Kediri (city)"",""Buddhism"",""Kahuripan"",""Majapahit"",1042,"
"Kediri kingdom,""Kediri (city)"",""Buddhism"",""Kahuripan"",""Singhasari"",1042,"
"Kediri kingdom,""Kediri (city)"",""Hinduism"",""Kahuripan"",""Majapahit"",1042,"
"Kediri kingdom,""Kediri (city)"",""Hinduism"",""Kahuripan"",""Singhasari"",1042,"
"Janggala,""Surabaya"",,""Kahuripan"",""Kediri"",1045,""http://www.wikidata.org/entity/Q13093931"""
"Sultanate of Tidore,""Tidore"",""Sunni Islam"",,""Dutch East Indies"",1081,""http://www.wikidata.org/entity/Q4118614"""
"Singhasari,""Malang"",,""Kediri"",""Kingdom of Singapura"",1222,""http://www.wikidata.org/entity/Q2060657"""
"Singhasari,""Malang"",,""Kediri"",""Majapahit"",1222,""http://www.wikidata.org/entity/Q2060657"""
"Aru kingdom,,,,""Sultanate of Deli"",1225,"
"Samudera Pasai Sultanate,,""Sunni Islam"",""Peureulak Sultanate"",""Aceh Sultanate"",1267,""http://www.wikidata.org/entity/Q3284315"""
"Duchy of Sumenep,""Sumenep (town)"",,""Singasari"",""Dutch East Indies"",1269,"
"Majapahit,""Trowulan"",,""Singhasari"",""Demak Sultanate"",1292,""http://www.wikidata.org/entity/Q49326"""
"Majapahit,""Trowulan"",,""Singhasari"",""Pagaruyung Kingdom"",1292,""http://www.wikidata.org/entity/Q49326"""
"Majapahit,""Trowulan"",,""Singhasari"",""Blambangan Kingdom"",1292,""http://www.wikidata.org/entity/Q49326"""
"Majapahit,""Trowulan"",,""Singhasari"",""Malacca Sultanate"",1292,""http://www.wikidata.org/entity/Q49326"""
"Majapahit,""Trowulan"",,""Singhasari"",""Sultanate of Gowa"",1292,""http://www.wikidata.org/entity/Q49326"""
"Majapahit,""Trowulan"",,""Singhasari"",""Bruneian Sultanate"",1292,""http://www.wikidata.org/entity/Q49326"""
"Landak Kingdom,,,,""West Kalimantan"",1292,"
"Sultanate of Bacan,""Amasing Hill"",""Sunni Islam"",,""Dutch East Indies"",1322,""http://www.wikidata.org/entity/Q104476046"""
"Sultanate of Buton,""Baubau"",,,,1332,""http://www.wikidata.org/entity/Q12491396"""
"Pagaruyung kingdom,""Batusangkar"",""Hindus"",""Dharmasraya"",""Inderapura Kingdom"",1347,"
"Pagaruyung kingdom,""Batusangkar"",""Hindus"",""Dharmasraya"",""Sumatra's West Coast ResidencySumatra's Westkust"",1347,"
"Pagaruyung kingdom,""Batusangkar"",""Animism"",""Dharmasraya"",""Inderapura Kingdom"",1347,"
"Pagaruyung kingdom,""Batusangkar"",""Animism"",""Dharmasraya"",""Sumatra's West Coast ResidencySumatra's Westkust"",1347,"
"Inderapura Kingdom,,""Animism"",""Dharmasraya"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Inderapura Kingdom,,""Animism"",""Pagaruyung Kingdom"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Inderapura Kingdom,,""Hindus"",""Dharmasraya"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Inderapura Kingdom,,""Hindus"",""Pagaruyung Kingdom"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Pagaruyung kingdom,""Batusangkar"",""Sunni Islam"",""Dharmasraya"",""Sumatra's West Coast ResidencySumatra's Westkust"",1347,"
"Pagaruyung kingdom,""Batusangkar"",""Sunni Islam"",""Dharmasraya"",""Inderapura Kingdom"",1347,"
"Inderapura Kingdom,,""Sunni Islam"",""Dharmasraya"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Inderapura Kingdom,,""Sunni Islam"",""Pagaruyung Kingdom"",""Company rule in the Dutch East IndiesDutch East India Company"",1347,"
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Spanish East Indies"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Kingdom of Marudu"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Maynila Maynila"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Brunei"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Dutch East Indies"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Spanish East Indies"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""North Borneo"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Raj of Sarawak"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Crown Colony of Labuan"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Maynila Maynila"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Sultanate of Sarawak"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Brunei"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Raj of Sarawak"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Kingdom of Marudu"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Sultanate of Sarawak"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""North Borneo"",1363,""http://www.wikidata.org/entity/Q887803"""
"Bruneian Sultanate (1368–1888),,""Sunni Islam"",""Majapahit"",""Sultanate of Sulu"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Crown Colony of Labuan"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Sultanate of Sulu"",1363,""http://www.wikidata.org/entity/Q887803"""
"Sultanate of Brunei (1368–1888),,""Sunni Islam"",""Majapahit"",""Dutch East Indies"",1363,""http://www.wikidata.org/entity/Q887803"""
"Blambangan Kingdom,""Lumajang Regency"",,""Majapahit"",""Dutch East Indies"",1478,""http://www.wikidata.org/entity/Q287996"""
"Sultanate of Ternate,""Ternate"",,""Pre-Islamic rulers of TernateKingdom of Gapi"",""Dutch East Indies"",1486,""http://www.wikidata.org/entity/Q2029522"""
"Sultanate of Ternate,""Fort Kastela"",,""Pre-Islamic rulers of TernateKingdom of Gapi"",""Dutch East Indies"",1486,""http://www.wikidata.org/entity/Q2029522"""
"Aceh Sultanate,""Indrapuri, Aceh Besar"",""Sunni Islam"",""Lambri"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Aceh Sultanate,""Banda Aceh"",""Sunni Islam"",""Pasai"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Aceh Sultanate,""Indrapuri, Aceh Besar"",""Sunni Islam"",""Pidie"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Aceh Sultanate,""Banda Aceh"",""Sunni Islam"",""Lambri"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Aceh Sultanate,""Indrapuri, Aceh Besar"",""Sunni Islam"",""Pasai"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Aceh Sultanate,""Banda Aceh"",""Sunni Islam"",""Pidie"",""Dutch East Indies"",1496,""http://www.wikidata.org/entity/Q1061057"""
"Kingdom of Larantuka,""Larantuka"",""Catholicism"",,,1515,""http://www.wikidata.org/entity/Q16188096"""
"Kingdom of Larantuka,""Larantuka"",""Catholic Church"",,,1515,""http://www.wikidata.org/entity/Q16188096"""
"Sultanate of Maguindanao,,""Sunni Islam"","""",""of the Philippines"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"","""",""Insular Government of the Philippine Islands"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"","""",""Moro Province"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"","""",""Insular Government"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"",""Prehistory of the Philippines"",""Moro Province"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"",""Prehistory of the Philippines"",""Insular Government of the Philippine Islands"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"",""Prehistory of the Philippines"",""of the Philippines"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Maguindanao,,""Sunni Islam"",""Prehistory of the Philippines"",""Insular Government"",1515,""http://www.wikidata.org/entity/Q248572"""
"Sultanate of Banjar,""Murung Raya Regency"",""Sunni Islam"",""Negara Daha"",""Dutch East Indies"",1526,""http://www.wikidata.org/entity/Q1660566"""
"Sultanate of Banjar,""Banjarmasin"",""Sunni Islam"",""Negara Daha"",""Dutch East Indies"",1526,""http://www.wikidata.org/entity/Q1660566"""
"Sultanate of Banjar,""Martapura, South Kalimantan"",""Sunni Islam"",""Negara Daha"",""Dutch East Indies"",1526,""http://www.wikidata.org/entity/Q1660566"""
"Banten Sultanate,""Old Banten"",,""Sunda Kingdom"",""Bantam Presidency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Cirebon Sultanate"",""Bantam Residency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Sunda Kingdom"",""Batavia, Dutch East IndiesBatavia"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Demak Sultanate"",""Bantam Residency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Demak Sultanate"",""Bantam Presidency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Sunda Kingdom"",""Bantam Residency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Cirebon Sultanate"",""Batavia, Dutch East IndiesBatavia"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Demak Sultanate"",""Batavia, Dutch East IndiesBatavia"",1526,""http://www.wikidata.org/entity/Q734867"""
"Banten Sultanate,""Old Banten"",,""Cirebon Sultanate"",""Bantam Presidency"",1526,""http://www.wikidata.org/entity/Q734867"""
"Dynasty of Sisingamangaraja,,,""Sorimangaraja dynasty"",""Dutch East Indies"",1550,"
"Sultanate of Langkat,""Langkat Regency"",""Islam"",""Aceh Sultanate"",""Indonesia"",1568,""http://www.wikidata.org/entity/Q734024"""
"Kingdom of Pajang,,""Islam"",""Demak Sultanate"",""Mataram Sultanate"",1568,""http://www.wikidata.org/entity/Q2390716"""
"Kingdom of Mori,""Kolonodale"",""Christianity"",,""Dutch East Indies"",1580,"
"Mataram Sultanate,""Surakarta"",""Sunni Islam"",""Kingdom of Pajang"",""Dutch East Indies"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Surakarta"",""Sunni Islam"",""Kingdom of Pajang"",""Yogyakarta Sultanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Surakarta"",""Sunni Islam"",""Kingdom of Pajang"",""Surakarta Sunanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kartasura"",""Sunni Islam"",""Kingdom of Pajang"",""Dutch East Indies"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kartasura"",""Sunni Islam"",""Kingdom of Pajang"",""Yogyakarta Sultanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kartasura"",""Sunni Islam"",""Kingdom of Pajang"",""Surakarta Sunanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kotagede"",""Sunni Islam"",""Kingdom of Pajang"",""Dutch East Indies"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kotagede"",""Sunni Islam"",""Kingdom of Pajang"",""Yogyakarta Sultanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Kotagede"",""Sunni Islam"",""Kingdom of Pajang"",""Surakarta Sunanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Plered"",""Sunni Islam"",""Kingdom of Pajang"",""Dutch East Indies"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Plered"",""Sunni Islam"",""Kingdom of Pajang"",""Yogyakarta Sultanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Plered"",""Sunni Islam"",""Kingdom of Pajang"",""Surakarta Sunanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Karta Palace"",""Sunni Islam"",""Kingdom of Pajang"",""Dutch East Indies"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Karta Palace"",""Sunni Islam"",""Kingdom of Pajang"",""Yogyakarta Sultanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Mataram Sultanate,""Karta Palace"",""Sunni Islam"",""Kingdom of Pajang"",""Surakarta Sunanate"",1584,""http://www.wikidata.org/entity/Q402145"""
"Sultanate of Sarawak,""Santubong (federal constituency)"",""Animism"",""Bruneian Empire"",""Bruneian Empire"",1599,""http://www.wikidata.org/entity/Q47012851"""
"Sultanate of Sarawak,""Santubong (federal constituency)"",""Islam"",""Bruneian Empire"",""Bruneian Empire"",1599,""http://www.wikidata.org/entity/Q47012851"""
"Sultanate of Sambas,""Sambas (town)"",""Hinduism"",""Sultanate of Sarawak"",""Dutch East Indies"",1600,""http://www.wikidata.org/entity/Q3109927"""
"Sultanate of Sambas,""Sambas (town)"",""Hinduism"",""Bruneian Empire"",""Dutch East Indies"",1600,""http://www.wikidata.org/entity/Q3109927"""
"Sultanate of Sambas,""Sambas (town)"",""Sunni Islam"",""Bruneian Empire"",""Dutch East Indies"",1600,""http://www.wikidata.org/entity/Q3109927"""
"Sultanate of Sambas,""Sambas (town)"",""Sunni Islam"",""Sultanate of Sarawak"",""Dutch East Indies"",1600,""http://www.wikidata.org/entity/Q3109927"""
"Jambi Sultanate,""Jambi (city)"",""Sunni Islam"",""Majapahit"",""Dutch East Indies"",1615,""http://www.wikidata.org/entity/Q1679856"""
"Bima Sultanate,""Bima"",,""Kingdom of Bima"",""Indonesia"",1621,""http://www.wikidata.org/entity/Q2817348"""
"Bima Sultanate,""Bima"",,""Kingdom of Bima"",""United States of Indonesia"",1621,""http://www.wikidata.org/entity/Q2817348"""
"Bima Sultanate,""Bima"",,""Kingdom of Bima"",""Dutch East Indies"",1621,""http://www.wikidata.org/entity/Q2817348"""
"Asahan Sultanate,""Tanjungbalai (city)"",,""Sultanate of Aceh"",""Indonesia"",1630,""http://www.wikidata.org/entity/Q2634240"""
"Bilah Sultanate,,,""Pinang Awan Sultanate"",""East Sumatra"",1630,"
"Sultanate of Deli,""Medan"",""Sunni Islam"",""Sultanate of Aceh"",""Indonesia"",1632,""http://www.wikidata.org/entity/Q2030015"""
"Sultanate of Serdang,,,,,1723,""http://www.wikidata.org/entity/Q3503559"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Berau"",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Sulu"",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"","""",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Berau"","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Sulu"",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"","""",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Sulu"",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Berau"",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"","""",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"","""","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Berau"",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Sulu"","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"","""",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Sulu"",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Berau"",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Berau"",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Sulu"",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"","""","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Sulu"","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"","""",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Berau"","""",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"",""Sultanate of Berau"",""Dutch East Indies"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Tarakan"",""Sunni Islam"","""",""Bulungan Regency"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Sultanate of Bulungan,""Bulungan Regency"",""Sunni Islam"",""Sultanate of Sulu"",""North Borneo"",1731,""http://www.wikidata.org/entity/Q3503548"""
"Mempawah Kingdom,,""Hinduism"",""Sidiniang Kingdom"",""Indonesia"",1740,""http://www.wikidata.org/entity/Q19746028"""
"Mempawah Kingdom,,""Sunni Islam"",""Sidiniang Kingdom"",""Indonesia"",1740,""http://www.wikidata.org/entity/Q19746028"""
"Mempawah Kingdom,,""Hinduism"",""Bangkule Sultankng Kingdom"",""Indonesia"",1740,""http://www.wikidata.org/entity/Q19746028"""
"Mempawah Kingdom,,""Sunni Islam"",""Bangkule Sultankng Kingdom"",""Indonesia"",1740,""http://www.wikidata.org/entity/Q19746028"""
"Pontianak Sultanate,""Pontianak"",""Sunni Islam"",""Mempawah Kingdom"",""Indonesia"",1771,""http://www.wikidata.org/entity/Q3048747"""
"Pontianak Sultanate,""Pontianak"",""Sunni Islam"",""Tanjungpura Kingdom"",""Indonesia"",1771,""http://www.wikidata.org/entity/Q3048747"""
"Lanfang Republic,,,""Lánfāng Gònghéguó"",""Dutch East Indies"",1777,""http://www.wikidata.org/entity/Q3233989"""
"Lanfang Republic,,,""Lánfāng Gōngsī"",""Dutch East Indies"",1777,""http://www.wikidata.org/entity/Q3233989"""
"Kingdom of Ambawang,,""Islam"",""Kubu Kingdom"",""Kubu Kingdom"",1833,"
"Lore Kingdom,,,""Bada Kingdom"",""Poso Regency"",1903,"
"Lore Kingdom,,,""Besoa Kingdom"",""Poso Regency"",1903,"
"Lore Kingdom,,,""Napu Kingdom"",""Poso Regency"",1903,"
